code,name,volatility,buy_hold,macd,hist_30,hist_50,hist_70,best_strategy,best_return,improvement
512400.SH,有色金属ETF,33.80024444883049,106.24338624338625,23.52345,37.824049999999986,43.2335,52.45515,柱衰竭70%,52.45515,28.931700000000003
512800.SH,银行ETF,36.7256849284227,-24.664107485604607,-9.742750000000024,18.924400000000013,12.11400000000001,9.40270000000005,柱衰竭30%,18.924400000000013,28.667150000000035
159928.SZ,消费ETF,22.551271154036147,-17.64004767580453,-4.790000000000009,4.681049999999891,12.155199999999992,9.921949999999924,柱衰竭50%,12.155199999999992,16.9452
159825.SZ,农业ETF,22.330378143487287,-0.4059539918809205,-0.19619999999995344,5.354949999999985,14.02845000000002,14.324650000000066,柱衰竭70%,14.324650000000066,14.520850000000019
159611.SZ,电力ETF,18.536095252083168,42.03389830508473,6.599949999999945,8.415999999999986,20.181699999999932,19.371599999999944,柱衰竭50%,20.181699999999932,13.581749999999987
512690.SH,酒ETF,27.33392483488758,-32.24368499257058,-6.949100000000044,-0.3984500000000025,3.072699999999986,1.8048999999999977,柱衰竭50%,3.072699999999986,10.021800000000031
561360.SH,石油ETF,24.52126579585974,46.713852376137524,10.39114999999997,15.631649999999969,19.47479999999996,18.61264999999987,柱衰竭50%,19.47479999999996,9.08364999999999
515220.SH,煤炭ETF,43.379244050817306,-42.79147513581278,-16.29345000000003,-18.528100000000027,-8.61724999999999,-9.377250000000025,柱衰竭50%,-8.61724999999999,7.676200000000039
516950.SH,基建ETF银华,23.4401706263597,19.715224534501637,7.3444500000000525,11.644949999999927,9.844500000000016,9.400050000000055,柱衰竭30%,11.644949999999927,4.300499999999874
515210.SH,钢铁ETF,25.777795690463396,7.30897009966778,7.845199999999977,7.592900000000031,6.448499999999966,11.799049999999943,柱衰竭70%,11.799049999999943,3.9538499999999654
159326.SZ,电网设备ETF,28.62139481503709,109.76602238046793,28.30155000000002,31.682650000000013,32.238100000000074,15.63470000000002,柱衰竭50%,32.238100000000074,3.9365500000000537
563380.SH,航空航天ETF,39.12507914942264,2.4925224327019078,11.71859999999997,12.016399999999999,10.813200000000005,14.704700000000004,柱衰竭70%,14.704700000000004,2.986100000000034
159365.SZ,恒指ETF,17.21456702761315,-0.09990009990008891,-3.8861500000000206,-4.740550000000064,-4.302600000000006,-1.9537000000000262,柱衰竭70%,-1.9537000000000262,1.9324499999999944
515790.SH,光伏ETF,34.54056998455369,22.247706422018357,28.00510000000006,24.602449999999997,29.52775000000008,4.780850000000032,柱衰竭50%,29.52775000000008,1.52265000000002
159929.SZ,医药ETF,24.5664670359304,-14.930555555555546,-1.0889999999999644,-0.1622000000000071,-4.090049999999996,-4.917850000000009,柱衰竭30%,-0.1622000000000071,0.9267999999999573
562800.SH,稀有金属ETF,35.791722944231594,101.55945419103314,17.577300000000015,17.805299999999942,9.521600000000035,10.78715000000002,柱衰竭30%,17.805299999999942,0.22799999999992693
512660.SH,军工ETF,32.294325911509816,31.366459627329185,33.19474999999998,30.030800000000134,33.28310000000002,22.306199999999947,柱衰竭50%,33.28310000000002,0.088350000000041
518880.SH,黄金ETF,21.917249908924234,100.25717959708527,28.54055000000003,15.304049999999961,17.881399999999985,17.40609999999997,MACD激进,28.54055000000003,0.0
159870.SZ,化工ETF,26.248014293491444,42.02401372212693,11.55340000000001,6.917799999999988,9.872899999999982,4.641599999999971,MACD激进,11.55340000000001,0.0
562360.SH,机器人ETF,33.26848200691278,48.749999999999986,59.87654999999997,36.748550000000044,17.900950000000012,1.1896499999999377,MACD激进,59.87654999999997,0.0
159852.SZ,软件ETF,38.26278312075967,5.427408412483045,40.11785000000005,33.04469999999996,34.07389999999996,-3.4620000000000117,MACD激进,40.11785000000005,0.0
512980.SH,传媒ETF,34.840518942917406,30.125523012552314,27.74290000000003,-1.696950000000061,-2.2905999999999835,-2.8285000000000537,MACD激进,27.74290000000003,0.0
159206.SZ,卫星ETF,38.892296044405164,59.83935742971889,42.75884999999998,28.79769999999999,7.465300000000003,2.2067000000000005,MACD激进,42.75884999999998,0.0
516800.SH,智能制造ETF,45.38792531181023,14.852607709750554,72.26689999999999,30.682150000000046,21.358199999999943,20.310100000000013,MACD激进,72.26689999999999,0.0
512200.SH,房地产ETF,116.12553458929202,162.98449612403098,76.79334999999996,-1.309200000000021,7.5516499999999045,17.185649999999985,MACD激进,76.79334999999996,0.0
515880.SH,通信ETF,60.24068318083141,51.38339920948617,92.9633,-11.262999999999874,-7.2786999999999695,-0.9292500000000018,MACD激进,92.9633,0.0
588000.SH,科创50ETF,37.42466028301802,97.96839729119638,80.58695000000003,24.72085,28.514449999999986,24.08085000000008,MACD激进,80.58695000000003,0.0
159997.SZ,电子ETF,34.21955372064811,143.86951631046122,68.93719999999996,54.38705000000002,44.56390000000001,34.282499999999935,MACD激进,68.93719999999996,0.0
512760.SH,芯片ETF,50.14572233139284,25.085130533484683,81.88745,-3.52505000000009,5.0298,6.243399999999997,MACD激进,81.88745,0.0
512480.SH,半导体ETF,38.47363326235863,158.98734177215186,85.94335000000005,52.52965,40.810050000000025,31.78415000000002,MACD激进,85.94335000000005,0.0
512170.SH,医疗ETF,27.121627926290344,-18.911917098445596,20.628600000000006,-3.3260000000000103,-10.79380000000001,-13.988750000000005,MACD激进,20.628600000000006,0.0
159755.SZ,电池ETF,33.87777457014516,87.6271186440678,26.981050000000007,12.564699999999993,17.552000000000067,18.064849999999954,MACD激进,26.981050000000007,0.0
515700.SH,新能车ETF,32.2628563287266,75.73194534808069,28.573850000000018,11.174699999999985,9.395150000000012,2.289050000000054,MACD激进,28.573850000000018,0.0
515000.SH,科技ETF,45.75927437106688,22.774869109947655,63.20785000000001,31.46184999999996,37.03474999999998,40.23549999999996,MACD激进,63.20785000000001,0.0
515030.SH,新能源车ETF,32.11494529147876,66.20808254514188,30.849599999999967,10.325949999999965,8.426750000000037,1.7231500000000097,MACD激进,30.849599999999967,0.0
512720.SH,计算机ETF,35.81444397896769,35.10869565217392,52.623250000000056,44.40080000000016,38.01770000000001,22.67600000000007,MACD激进,52.623250000000056,0.0
516010.SH,游戏ETF,38.355577387915964,14.86620416253718,19.439200000000028,10.420399999999972,9.981799999999954,13.68539999999998,MACD激进,19.439200000000028,0.0
515980.SH,人工智能ETF,50.300409401925286,40.68441064638784,71.0909999999999,49.98274999999999,31.21849999999997,35.17679999999996,MACD激进,71.0909999999999,0.0
159688.SZ,恒生互联网ETF,32.70308292920316,13.812154696132595,16.858299999999986,-5.2462499999999865,2.7825000000001183,0.6573000000000093,MACD激进,16.858299999999986,0.0
